"journal","pubYear","n","N","N.year.overall","N.percent","years_avail"
"Canadian Social Work Review","2002","3",1,17,5.88235294117647,3
"Canadian Social Work Review","2003","1",11,16,68.75,3
"Canadian Social Work Review","2003","2",1,16,6.25,3
"Canadian Social Work Review","2003","4+",4,16,25,3
"Canadian Social Work Review","2004","1",2,10,20,4
"Canadian Social Work Review","2004","2",4,10,40,4
"Canadian Social Work Review","2004","3",3,10,30,4
"Canadian Social Work Review","2004","4+",1,10,10,4
"Canadian Social Work Review","2005","1",7,11,63.6363636363636,4
"Canadian Social Work Review","2005","2",2,11,18.1818181818182,4
"Canadian Social Work Review","2005","3",1,11,9.09090909090909,4
"Canadian Social Work Review","2005","4+",1,11,9.09090909090909,4
"Canadian Social Work Review","2006","1",7,10,70,4
"Canadian Social Work Review","2006","2",1,10,10,4
"Canadian Social Work Review","2006","3",1,10,10,4
"Canadian Social Work Review","2006","4+",1,10,10,4
"Canadian Social Work Review","2007","1",6,14,42.8571428571429,3
"Canadian Social Work Review","2007","2",7,14,50,3
"Canadian Social Work Review","2007","3",1,14,7.14285714285714,3
"Canadian Social Work Review","2008","1",12,15,80,3
"Canadian Social Work Review","2008","2",2,15,13.3333333333333,3
"Canadian Social Work Review","2008","3",1,15,6.66666666666667,3
"Canadian Social Work Review","2009","1",9,15,60,4
"Canadian Social Work Review","2009","2",3,15,20,4
"Canadian Social Work Review","2009","3",1,15,6.66666666666667,4
"Canadian Social Work Review","2009","4+",2,15,13.3333333333333,4
"Canadian Social Work Review","2010","1",15,21,71.4285714285714,3
"Canadian Social Work Review","2010","2",5,21,23.8095238095238,3
"Canadian Social Work Review","2010","4+",1,21,4.76190476190476,3
"Canadian Social Work Review","2011","1",13,32,40.625,4
"Canadian Social Work Review","2011","2",7,32,21.875,4
"Canadian Social Work Review","2011","3",6,32,18.75,4
"Canadian Social Work Review","2011","4+",6,32,18.75,4
"Canadian Social Work Review","2012","1",17,30,56.6666666666667,4
"Canadian Social Work Review","2012","2",10,30,33.3333333333333,4
"Canadian Social Work Review","2012","3",1,30,3.33333333333333,4
"Canadian Social Work Review","2012","4+",2,30,6.66666666666667,4
"Canadian Social Work Review","2013","1",10,27,37.037037037037,4
"Canadian Social Work Review","2013","2",13,27,48.1481481481481,4
"Canadian Social Work Review","2013","3",1,27,3.7037037037037,4
"Canadian Social Work Review","2013","4+",3,27,11.1111111111111,4
"Child & Adolescent Social Work Journal","1989","1",14,24,58.3333333333333,3
"Child & Adolescent Social Work Journal","1989","2",7,24,29.1666666666667,3
"Child & Adolescent Social Work Journal","1989","3",3,24,12.5,3
"Child & Adolescent Social Work Journal","1990","1",19,29,65.5172413793103,4
"Child & Adolescent Social Work Journal","1990","2",7,29,24.1379310344828,4
"Child & Adolescent Social Work Journal","1990","3",2,29,6.89655172413793,4
"Child & Adolescent Social Work Journal","1990","4+",1,29,3.44827586206897,4
"Child & Adolescent Social Work Journal","1991","1",17,24,70.8333333333333,3
"Child & Adolescent Social Work Journal","1991","2",4,24,16.6666666666667,3
"Child & Adolescent Social Work Journal","1991","4+",3,24,12.5,3
"Child & Adolescent Social Work Journal","1992","1",20,27,74.0740740740741,4
"Child & Adolescent Social Work Journal","1992","2",4,27,14.8148148148148,4
"Child & Adolescent Social Work Journal","1992","3",2,27,7.40740740740741,4
"Child & Adolescent Social Work Journal","1992","4+",1,27,3.7037037037037,4
"Child & Adolescent Social Work Journal","1993","1",13,26,50,4
"Child & Adolescent Social Work Journal","1993","2",7,26,26.9230769230769,4
"Child & Adolescent Social Work Journal","1993","3",3,26,11.5384615384615,4
"Child & Adolescent Social Work Journal","1993","4+",3,26,11.5384615384615,4
"Child & Adolescent Social Work Journal","1994","1",16,32,50,4
"Child & Adolescent Social Work Journal","1994","2",11,32,34.375,4
"Child & Adolescent Social Work Journal","1994","3",3,32,9.375,4
"Child & Adolescent Social Work Journal","1994","4+",2,32,6.25,4
"Child & Adolescent Social Work Journal","1995","1",11,28,39.2857142857143,4
"Child & Adolescent Social Work Journal","1995","2",5,28,17.8571428571429,4
"Child & Adolescent Social Work Journal","1995","3",7,28,25,4
"Child & Adolescent Social Work Journal","1995","4+",5,28,17.8571428571429,4
"Child & Adolescent Social Work Journal","1996","1",15,30,50,4
"Child & Adolescent Social Work Journal","1996","2",9,30,30,4
"Child & Adolescent Social Work Journal","1996","3",4,30,13.3333333333333,4
"Child & Adolescent Social Work Journal","1996","4+",2,30,6.66666666666667,4
"Child & Adolescent Social Work Journal","1997","1",11,24,45.8333333333333,4
"Child & Adolescent Social Work Journal","1997","2",8,24,33.3333333333333,4
"Child & Adolescent Social Work Journal","1997","3",4,24,16.6666666666667,4
"Child & Adolescent Social Work Journal","1997","4+",1,24,4.16666666666667,4
"Child & Adolescent Social Work Journal","1998","1",17,28,60.7142857142857,4
"Child & Adolescent Social Work Journal","1998","2",5,28,17.8571428571429,4
"Child & Adolescent Social Work Journal","1998","3",2,28,7.14285714285714,4
"Child & Adolescent Social Work Journal","1998","4+",4,28,14.2857142857143,4
"Child & Adolescent Social Work Journal","1999","1",15,25,60,3
"Child & Adolescent Social Work Journal","1999","2",8,25,32,3
"Child & Adolescent Social Work Journal","1999","3",2,25,8,3
"Child & Adolescent Social Work Journal","2000","1",7,26,26.9230769230769,4
"Child & Adolescent Social Work Journal","2000","2",10,26,38.4615384615385,4
"Child & Adolescent Social Work Journal","2000","3",6,26,23.0769230769231,4
"Child & Adolescent Social Work Journal","2000","4+",3,26,11.5384615384615,4
"Child & Adolescent Social Work Journal","2001","1",14,24,58.3333333333333,4
"Child & Adolescent Social Work Journal","2001","2",5,24,20.8333333333333,4
"Child & Adolescent Social Work Journal","2001","3",4,24,16.6666666666667,4
"Child & Adolescent Social Work Journal","2001","4+",1,24,4.16666666666667,4
"Child & Adolescent Social Work Journal","2002","1",7,24,29.1666666666667,3
"Child & Adolescent Social Work Journal","2002","2",10,24,41.6666666666667,3
"Child & Adolescent Social Work Journal","2002","3",7,24,29.1666666666667,3
"Child & Adolescent Social Work Journal","2003","1",11,27,40.7407407407407,4
"Child & Adolescent Social Work Journal","2003","2",7,27,25.9259259259259,4
"Child & Adolescent Social Work Journal","2003","3",3,27,11.1111111111111,4
"Child & Adolescent Social Work Journal","2003","4+",6,27,22.2222222222222,4
"Child & Adolescent Social Work Journal","2004","1",11,34,32.3529411764706,4
"Child & Adolescent Social Work Journal","2004","2",11,34,32.3529411764706,4
"Child & Adolescent Social Work Journal","2004","3",8,34,23.5294117647059,4
"Child & Adolescent Social Work Journal","2004","4+",4,34,11.7647058823529,4
"Child & Adolescent Social Work Journal","2005","1",13,23,56.5217391304348,4
"Child & Adolescent Social Work Journal","2005","2",3,23,13.0434782608696,4
"Child & Adolescent Social Work Journal","2005","3",6,23,26.0869565217391,4
"Child & Adolescent Social Work Journal","2005","4+",1,23,4.34782608695652,4
"Child & Adolescent Social Work Journal","2006","1",13,32,40.625,4
"Child & Adolescent Social Work Journal","2006","2",8,32,25,4
"Child & Adolescent Social Work Journal","2006","3",3,32,9.375,4
"Child & Adolescent Social Work Journal","2006","4+",8,32,25,4
"Child & Adolescent Social Work Journal","2007","1",9,31,29.0322580645161,4
"Child & Adolescent Social Work Journal","2007","2",11,31,35.4838709677419,4
"Child & Adolescent Social Work Journal","2007","3",8,31,25.8064516129032,4
"Child & Adolescent Social Work Journal","2007","4+",3,31,9.67741935483871,4
"Child & Adolescent Social Work Journal","2008","1",10,34,29.4117647058824,4
"Child & Adolescent Social Work Journal","2008","2",11,34,32.3529411764706,4
"Child & Adolescent Social Work Journal","2008","3",5,34,14.7058823529412,4
"Child & Adolescent Social Work Journal","2008","4+",8,34,23.5294117647059,4
"Child & Adolescent Social Work Journal","2009","1",10,33,30.3030303030303,4
"Child & Adolescent Social Work Journal","2009","2",11,33,33.3333333333333,4
"Child & Adolescent Social Work Journal","2009","3",6,33,18.1818181818182,4
"Child & Adolescent Social Work Journal","2009","4+",6,33,18.1818181818182,4
"Child & Adolescent Social Work Journal","2010","1",7,28,25,4
"Child & Adolescent Social Work Journal","2010","2",7,28,25,4
"Child & Adolescent Social Work Journal","2010","3",10,28,35.7142857142857,4
"Child & Adolescent Social Work Journal","2010","4+",4,28,14.2857142857143,4
"Child & Adolescent Social Work Journal","2011","1",6,29,20.6896551724138,4
"Child & Adolescent Social Work Journal","2011","2",4,29,13.7931034482759,4
"Child & Adolescent Social Work Journal","2011","3",15,29,51.7241379310345,4
"Child & Adolescent Social Work Journal","2011","4+",4,29,13.7931034482759,4
"Child & Adolescent Social Work Journal","2012","1",9,30,30,4
"Child & Adolescent Social Work Journal","2012","2",4,30,13.3333333333333,4
"Child & Adolescent Social Work Journal","2012","3",10,30,33.3333333333333,4
"Child & Adolescent Social Work Journal","2012","4+",7,30,23.3333333333333,4
"Child & Adolescent Social Work Journal","2013","1",7,30,23.3333333333333,4
"Child & Adolescent Social Work Journal","2013","2",8,30,26.6666666666667,4
"Child & Adolescent Social Work Journal","2013","3",5,30,16.6666666666667,4
"Child & Adolescent Social Work Journal","2013","4+",10,30,33.3333333333333,4
"Child & Family Social Work","1997","1",10,19,52.6315789473684,4
"Child & Family Social Work","1997","2",6,19,31.5789473684211,4
"Child & Family Social Work","1997","3",1,19,5.26315789473684,4
"Child & Family Social Work","1997","4+",2,19,10.5263157894737,4
"Child & Family Social Work","1998","1",18,25,72,3
"Child & Family Social Work","1998","2",5,25,20,3
"Child & Family Social Work","1998","4+",2,25,8,3
"Child & Family Social Work","1999","1",9,18,50,3
"Child & Family Social Work","1999","2",7,18,38.8888888888889,3
"Child & Family Social Work","1999","3",2,18,11.1111111111111,3
"Child & Family Social Work","2000","1",11,22,50,4
"Child & Family Social Work","2000","2",8,22,36.3636363636364,4
"Child & Family Social Work","2000","3",2,22,9.09090909090909,4
"Child & Family Social Work","2000","4+",1,22,4.54545454545455,4
"Child & Family Social Work","2001","1",17,28,60.7142857142857,4
"Child & Family Social Work","2001","2",6,28,21.4285714285714,4
"Child & Family Social Work","2001","3",3,28,10.7142857142857,4
"Child & Family Social Work","2001","4+",2,28,7.14285714285714,4
"Child & Family Social Work","2002","1",9,23,39.1304347826087,4
"Child & Family Social Work","2002","2",6,23,26.0869565217391,4
"Child & Family Social Work","2002","3",5,23,21.7391304347826,4
"Child & Family Social Work","2002","4+",3,23,13.0434782608696,4
"Child & Family Social Work","2003","1",15,28,53.5714285714286,4
"Child & Family Social Work","2003","2",7,28,25,4
"Child & Family Social Work","2003","3",3,28,10.7142857142857,4
"Child & Family Social Work","2003","4+",3,28,10.7142857142857,4
"Child & Family Social Work","2004","1",11,30,36.6666666666667,4
"Child & Family Social Work","2004","2",11,30,36.6666666666667,4
"Child & Family Social Work","2004","3",5,30,16.6666666666667,4
"Child & Family Social Work","2004","4+",3,30,10,4
"Child & Family Social Work","2005","1",11,31,35.4838709677419,4
"Child & Family Social Work","2005","2",9,31,29.0322580645161,4
"Child & Family Social Work","2005","3",5,31,16.1290322580645,4
"Child & Family Social Work","2005","4+",6,31,19.3548387096774,4
"Child & Family Social Work","2006","1",12,34,35.2941176470588,4
"Child & Family Social Work","2006","2",11,34,32.3529411764706,4
"Child & Family Social Work","2006","3",6,34,17.6470588235294,4
"Child & Family Social Work","2006","4+",5,34,14.7058823529412,4
"Child & Family Social Work","2007","1",20,41,48.780487804878,4
"Child & Family Social Work","2007","2",8,41,19.5121951219512,4
"Child & Family Social Work","2007","3",8,41,19.5121951219512,4
"Child & Family Social Work","2007","4+",5,41,12.1951219512195,4
"Child & Family Social Work","2008","1",10,43,23.2558139534884,4
"Child & Family Social Work","2008","2",21,43,48.8372093023256,4
"Child & Family Social Work","2008","3",7,43,16.2790697674419,4
"Child & Family Social Work","2008","4+",5,43,11.6279069767442,4
"Child & Family Social Work","2009","1",13,46,28.2608695652174,4
"Child & Family Social Work","2009","2",15,46,32.6086956521739,4
"Child & Family Social Work","2009","3",3,46,6.52173913043478,4
"Child & Family Social Work","2009","4+",15,46,32.6086956521739,4
"Child & Family Social Work","2010","1",13,44,29.5454545454545,4
"Child & Family Social Work","2010","2",16,44,36.3636363636364,4
"Child & Family Social Work","2010","3",4,44,9.09090909090909,4
"Child & Family Social Work","2010","4+",11,44,25,4
"Child & Family Social Work","2011","1",15,45,33.3333333333333,4
"Child & Family Social Work","2011","2",12,45,26.6666666666667,4
"Child & Family Social Work","2011","3",6,45,13.3333333333333,4
"Child & Family Social Work","2011","4+",12,45,26.6666666666667,4
"Child & Family Social Work","2012","1",14,46,30.4347826086957,4
"Child & Family Social Work","2012","2",14,46,30.4347826086957,4
"Child & Family Social Work","2012","3",13,46,28.2608695652174,4
"Child & Family Social Work","2012","4+",5,46,10.8695652173913,4
"Child & Family Social Work","2013","1",15,47,31.9148936170213,4
"Child & Family Social Work","2013","2",11,47,23.4042553191489,4
"Child & Family Social Work","2013","3",11,47,23.4042553191489,4
"Child & Family Social Work","2013","4+",10,47,21.2765957446809,4
"Children & Schools","2003","1",2,13,15.3846153846154,3
"Children & Schools","2003","2",5,13,38.4615384615385,3
"Children & Schools","2003","3",6,13,46.1538461538462,3
"Children & Schools","2004","1",6,16,37.5,4
"Children & Schools","2004","2",8,16,50,4
"Children & Schools","2004","3",1,16,6.25,4
"Children & Schools","2004","4+",1,16,6.25,4
"Children & Schools","2005","1",6,25,24,4
"Children & Schools","2005","2",9,25,36,4
"Children & Schools","2005","3",4,25,16,4
"Children & Schools","2005","4+",6,25,24,4
"Children & Schools","2006","1",9,25,36,4
"Children & Schools","2006","2",8,25,32,4
"Children & Schools","2006","3",6,25,24,4
"Children & Schools","2006","4+",2,25,8,4
"Children & Schools","2007","1",8,24,33.3333333333333,4
"Children & Schools","2007","2",8,24,33.3333333333333,4
"Children & Schools","2007","3",3,24,12.5,4
"Children & Schools","2007","4+",5,24,20.8333333333333,4
"Children & Schools","2008","1",6,20,30,4
"Children & Schools","2008","2",8,20,40,4
"Children & Schools","2008","3",3,20,15,4
"Children & Schools","2008","4+",3,20,15,4
"Children & Schools","2009","1",6,23,26.0869565217391,4
"Children & Schools","2009","2",11,23,47.8260869565217,4
"Children & Schools","2009","3",2,23,8.69565217391304,4
"Children & Schools","2009","4+",4,23,17.3913043478261,4
"Children & Schools","2010","1",7,21,33.3333333333333,4
"Children & Schools","2010","2",7,21,33.3333333333333,4
"Children & Schools","2010","3",4,21,19.047619047619,4
"Children & Schools","2010","4+",3,21,14.2857142857143,4
"Children & Schools","2011","1",3,22,13.6363636363636,4
"Children & Schools","2011","2",12,22,54.5454545454545,4
"Children & Schools","2011","3",4,22,18.1818181818182,4
"Children & Schools","2011","4+",3,22,13.6363636363636,4
"Children & Schools","2012","1",8,24,33.3333333333333,4
"Children & Schools","2012","2",7,24,29.1666666666667,4
"Children & Schools","2012","3",5,24,20.8333333333333,4
"Children & Schools","2012","4+",4,24,16.6666666666667,4
"Children & Schools","2013","1",8,23,34.7826086956522,4
"Children & Schools","2013","2",6,23,26.0869565217391,4
"Children & Schools","2013","3",2,23,8.69565217391304,4
"Children & Schools","2013","4+",7,23,30.4347826086957,4
"China Journal of Social Work","2009","1",7,18,38.8888888888889,4
"China Journal of Social Work","2009","2",5,18,27.7777777777778,4
"China Journal of Social Work","2009","3",3,18,16.6666666666667,4
